File,aid,Date,2057,2058,2061,2062,2112,2114,2116,2181,2182,2185,2186,2253,2254,2257,2258,2317,2318,2321,2322,2367,2372,2374,2376,2441,2442,2445,2446,2513,2514,2517,2518,3094,3098,3150,3154,3218,3222,3290,3294,3354,3358,3410,3414,3478,3482,3550,3554,4105,4106,4109,4110,4159,4160,4162,4164,4166,4223,4365,4366,4369,4370,4415,5142,5146,5183,5198,5202,5402,5406,6153,6154,6157,6158,6207,6208,6212,6271,6277,6281,6335,6349,6353,6399,6413,6414,6417,6418,6463,6468,6527,6537,6591,6609,6613,6655,7190,7194,7231,7246,7250,7295,7386,7423,7450,7487,7646,18445,18446,18449,18450,18495,18641,18645,18702,18705,18706,18709,18710,18829,18901,18905,19482,19486,19738,19742,19746,19938,20493,20494,20497,20498,20750,20753,20757,20799,21530,21534,21790,21794,22541,22542,22546,22801,22805,23578,23838,34833,34834,34837,34838,34888,34890,34892,34957,34961,35029,35030,35033,35034,35089,35090,35093,35094,35097,35098,35144,35148,35152,35213,35217,35218,35221,35222,35285,35289,35290,35293,35294,35870,35874,35926,35994,35998,36066,36070,36122,36126,36130,36134,36186,36190,36250,36254,36258,36318,36322,36326,36330,36881,36882,36885,36886,36936,36940,37137,37138,37141,37142,37145,37146,37183,37192,37196,37918,37922,37974,38170,38174,38178,38182,38929,38933,38984,38988,39039,39053,39103,39125,39129,39167,39185,39189,39190,39193,39194,39231,39295,39313,39317,39359,39385,39389,39423,40022,40063,40226,40230,40255,40422,40447,51199,51221,51225,51345,51417,51473,51477,51481,51482,51485,51605,51609,51669,51673,51677,51681,52258,52262,52510,52514,52518,52522,52714,53269,53273,53521,53525,53529,53533,54306,54310,54562,54566,54570,55317,55573,55577,55581,61439,63487
_1_km_16_days_VI_Quality_2021145_aid0001,aid0001,2021-05-25 00:00:00+00:00,3267,93028,7800,57568,404817,4,139221,31053,23,13633,7,3879,64,2895,11,9155,44970,10268,26609,2,59904,5,24222,63084,135,25909,6,12701,1231,7300,436,6312,3525,92,8,179,30,305,71,5503,3689,136,27,731,204,1811,644,790,32664,1571,20009,5,127805,10,65892,7,20,24456,3311,14144,2850,4,1673,710,6,24,5,500,412,148,4808,35,1836,129,17698,4413,348,237,10,224,84,10,10,3184,50,993,26,28,7,2,72,36,67,8,10,524,58,6,100,6,20,5,13,57,3,6,68014,46056,20425,24140,9,54,3,15,79053,12,29642,10,5,206,22,2667,1364,6,3624,1500,4,3801,2762,2037,1958,1,6497,3931,4,136,78,217,147,66,276,67,133,18,4,5,883,1183,880,531,12314,2,4050,7689,2061,1651,19,800,5,40,318,4350,11886,3622,7188,1998,16200,3074,1262,34152,41,9634,10,87,11499,708,6173,286,288,116,8,26,5,112,25,25,78,1626,956,98,2,4,500,71,5,6,1323,312,129,49,70,26,4320,2069,26,3,7920,694,2731,788,4,146,53,7,3,2,3,4,118,84,19,2,1076,343,22,44,42,38,2,10,2,2178,20,427,1,14,7,73,2,36,99,11,11,4,6,55,2,6,4,2,3777,6227,1400,4,26,26,915,20437,2,8342,11,7,2,2,187,57,129,60,33,55,785,357,2,426,108,3,96,2222,1064,6,14,6,47,25,12,4,103,10,200,114
