date,lat,lon,temperature_2m_max,temperature_2m_mean,wind_speed_10m_mean,wind_speed_10m_max,precipitation_sum
2025-12-18 00:00:00+00:00,60.125,-126.75,-23.343,-25.257584,4.1614556,7.928177,1.8000003
2025-12-18 00:00:00+00:00,60.125,-126.5,-23.338501,-25.078081,3.9138947,5.634891,1.3000002
2025-12-18 00:00:00+00:00,60.125,-126.25,-21.043001,-22.788836,5.3071632,7.42159,0.8000001
2025-12-18 00:00:00+00:00,60.125,-126.0,-22.3795,-23.471163,5.8361783,7.9036193,1.3000002
2025-12-18 00:00:00+00:00,60.125,-125.75,-24.265,-25.185835,5.6209793,9.511088,1.5000002
2025-12-18 00:00:00+00:00,60.125,-125.5,-23.93,-25.08,4.799371,6.8777895,1.8000003
2025-12-18 00:00:00+00:00,60.125,-125.25,-26.855501,-28.182587,3.1168942,4.379589,1.8000003
2025-12-18 00:00:00+00:00,60.125,-125.0,-25.163,-27.185915,2.790783,4.8433046,1.1000001
2025-12-18 00:00:00+00:00,60.125,-124.75,-23.556,-24.972666,3.138244,5.0142193,1.2000002
2025-12-18 00:00:00+00:00,60.125,-124.5,-20.638,-23.021338,4.0800014,5.692099,1.4000002
2025-12-18 00:00:00+00:00,60.125,-124.25,-19.0905,-20.627996,2.8489757,5.6920996,1.1000001
2025-12-18 00:00:00+00:00,60.125,-124.0,-21.1945,-23.798668,3.1842418,10.587918,2.0000002
2025-12-18 00:00:00+00:00,60.125,-123.75,-18.4515,-22.889,4.3577304,13.392774,1.6000001
2025-12-18 00:00:00+00:00,60.125,-123.5,-20.2525,-24.733747,7.5357738,19.66536,2.2
2025-12-18 00:00:00+00:00,60.125,-123.25,-21.303,-25.727999,6.689465,17.026896,2.2
2025-12-18 00:00:00+00:00,60.125,-123.0,-21.720001,-26.026245,6.4229965,14.973576,1.8000002
2025-12-18 00:00:00+00:00,60.125,-122.75,-20.865,-25.565002,5.3481407,11.720751,1.8000002
2025-12-18 00:00:00+00:00,60.125,-122.5,-21.0885,-25.486414,5.2651997,10.636766,1.9000002
2025-12-18 00:00:00+00:00,60.125,-122.25,-21.094,-24.898165,5.251365,11.183201,1.7000002
2025-12-18 00:00:00+00:00,60.125,-122.0,-21.873001,-25.816751,5.461891,12.387348,1.9000002
2025-12-18 00:00:00+00:00,60.125,-121.75,-22.236,-25.685997,5.9657235,13.979872,1.6000001
2025-12-18 00:00:00+00:00,60.125,-121.5,-22.9495,-24.951582,7.0201087,15.696165,1.5000001
2025-12-18 00:00:00+00:00,60.125,-121.25,-23.974,-24.686495,7.1524425,15.077082,1.5000001
2025-12-18 00:00:00+00:00,60.125,-121.0,-24.0145,-25.004084,6.246843,14.007655,1.8000002
2025-12-18 00:00:00+00:00,60.125,-120.75,-23.3675,-25.123749,5.494,10.948973,1.6000001
2025-12-18 00:00:00+00:00,60.125,-120.5,-23.085499,-25.062582,4.983676,10.464797,1.2
2025-12-18 00:00:00+00:00,60.125,-120.25,-22.138,-24.788,4.8162494,10.1887,1.5000001
2025-12-18 00:00:00+00:00,60.125,-120.0,-22.858,-26.503832,5.3395114,11.609651,1.2
2025-12-18 00:00:00+00:00,60.125,-119.75,-23.2955,-27.585083,4.9883084,12.303366,1.1
2025-12-18 00:00:00+00:00,60.125,-119.5,-23.8195,-25.859085,6.8874025,12.287555,1.0000001
2025-12-18 00:00:00+00:00,60.125,-119.25,-23.4955,-25.843416,6.188093,9.83268,1.0000001
2025-12-18 00:00:00+00:00,60.125,-119.0,-23.017,-25.917002,5.59219,11.269782,0.8000001
2025-12-18 00:00:00+00:00,60.125,-118.75,-23.286999,-26.037,5.634588,10.829958,0.9000001
2025-12-18 00:00:00+00:00,60.125,-118.5,-23.985498,-26.897997,6.349273,9.346143,0.9000001
2025-12-18 00:00:00+00:00,60.125,-118.25,-23.881498,-26.793999,6.349273,9.346143,0.9000001
2025-12-18 00:00:00+00:00,60.125,-118.0,-22.1735,-25.442251,5.1086392,9.028754,0.70000005
2025-12-18 00:00:00+00:00,60.125,-117.75,-23.119,-25.198168,4.51939,8.225035,0.9000001
2025-12-18 00:00:00+00:00,60.125,-117.5,-21.5975,-23.747498,4.297469,10.883676,0.6
2025-12-18 00:00:00+00:00,60.125,-117.25,-21.9355,-24.0855,4.297469,10.883676,0.6
2025-12-18 00:00:00+00:00,60.125,-117.0,-21.4875,-24.004166,6.574401,12.72283,0.8000001
2025-12-18 00:00:00+00:00,60.125,-116.75,-21.331999,-25.094498,5.6110563,11.013882,0.8000001
2025-12-18 00:00:00+00:00,60.125,-116.5,-22.1755,-26.1505,7.1612544,10.041354,0.70000005
2025-12-18 00:00:00+00:00,60.125,-116.25,-22.8605,-26.877167,8.609753,13.202726,0.70000005
2025-12-18 00:00:00+00:00,60.125,-116.0,-23.3605,-26.90008,9.505655,14.618837,0.6
2025-12-18 00:00:00+00:00,60.125,-115.75,-23.3935,-26.349749,7.6772847,12.768586,0.4
2025-12-18 00:00:00+00:00,60.125,-115.5,-23.675999,-26.086416,7.047698,12.181624,0.4
2025-12-18 00:00:00+00:00,60.125,-115.25,-22.835,-25.755835,5.8861394,11.119281,0.3
2025-12-18 00:00:00+00:00,60.125,-115.0,-23.1435,-25.412249,5.8992825,10.163227,0.4
2025-12-18 00:00:00+00:00,60.125,-114.75,-22.7565,-25.704416,4.229769,6.763786,0.3
2025-12-18 00:00:00+00:00,60.125,-114.5,-23.3065,-26.427332,3.9188566,6.297428,0.4
2025-12-18 00:00:00+00:00,60.125,-114.25,-23.157,-26.277832,3.9188566,6.297428,0.4
2025-12-18 00:00:00+00:00,60.125,-114.0,-23.239,-26.828588,4.149315,6.12,0.4
2025-12-18 00:00:00+00:00,59.875,-141.75,3.5,0.70624995,12.2976055,25.96496,8.500001
2025-12-18 00:00:00+00:00,59.875,-141.5,2.5,0.73958343,8.376668,12.599999,0.3
2025-12-18 00:00:00+00:00,59.875,-141.25,0.88399994,-0.36808336,7.19526,10.233123,0.0
2025-12-18 00:00:00+00:00,59.875,-141.0,-2.124,-3.2427504,7.736766,8.4963045,0.0
2025-12-18 00:00:00+00:00,59.875,-140.75,-7.692,-8.56075,12.414677,13.755579,0.0
2025-12-18 00:00:00+00:00,59.875,-140.5,-8.498,-10.287584,11.514122,12.783802,0.0
2025-12-18 00:00:00+00:00,59.875,-140.25,-6.2419996,-7.78575,10.448102,12.429127,0.0
2025-12-18 00:00:00+00:00,59.875,-140.0,-4.3294997,-6.139917,8.353297,10.483357,0.0
2025-12-18 00:00:00+00:00,59.875,-139.875,-1.9209999,-5.3001666,4.960406,6.193674,0.0
2025-12-18 00:00:00+00:00,59.875,-139.5,-5.859,-8.648583,14.52722,15.94601,0.0
2025-12-18 00:00:00+00:00,59.875,-139.375,-0.7175,-3.507083,14.52722,15.94601,0.0
